guard_id,age,location,deployment_type,shift_hours,late_arrivals,absenteeism,incidents_reported,incident_type,response_time_minutes,client_satisfaction_score,supervisor_rating,overtime_hours,contract_value,fuel_consumption_liters,distance_covered_km,patrol_vehicle_used,incident_rate,efficiency_score,total_cost,profit_margin,Client satisfaction %,profit margin %,Index,Date,Month Name,MonthNum,Year,efficeincy score %
G0747,33,Lagos,Retail,12,0,0,1,Unknown,20.9,57,88,16,756021,29.66,16.4,No,0.08,72.5,599989.02,20.64,57%,20.64%,746,3/19/2023,March,3,2023,73%
G0758,32,Kano,Event,12,0,0,1,Theft,19.7,89,76,17,890888,18.15,127.3,No,0.08,82.5,760474.28,14.64,89%,14.64%,757,2/2/2024,February,2,2024,83%
G0761,20,Kano,Industrial,12,0,0,1,Fire,25.9,74,72,3,831108,28.19,51,No,0.08,73,769664.22,7.39,74%,7.39%,760,5/5/2023,May,5,2023,73%
G0781,48,Kano,Residential,10,0,0,1,Breach,14.7,72,48,8,1204462,28.94,59.5,Yes,0.1,60,928688.58,22.9,72%,22.90%,780,1/25/2023,January,1,2023,60%
G0783,30,Lagos,Corporate,10,0,0,1,Breach,28.9,61,87,10,1434321,28.95,66.9,Yes,0.1,74,956363.58,33.32,61%,33.32%,782,3/27/2023,March,3,2023,74%
G0807,33,Port Harcourt,Retail,10,0,0,1,Theft,13.9,54,77,8,438997,15.11,83.1,Yes,0.1,65.5,334887.76,23.72,54%,23.72%,806,3/23/2023,March,3,2023,66%
G0846,30,Abuja,Industrial,10,0,0,1,Fire,8.8,64,73,1,1124428,13.63,153.5,Yes,0.1,68.5,881373.3,21.62,64%,21.62%,845,6/6/2024,June,6,2024,69%
G0849,27,Abuja,Corporate,10,0,0,1,Unknown,30.6,78,91,10,1209166,6.24,19.9,Yes,0.1,84.5,909572.07,24.78,78%,24.78%,848,9/9/2023,September,9,2023,85%
G0864,28,Port Harcourt,Residential,10,0,0,1,Dispute,22.1,65,41,8,1353097,27.39,101.1,Yes,0.1,53,1256191.39,7.16,65%,7.16%,863,12/24/2024,December,12,2024,53%
G0875,34,Abuja,Retail,12,0,0,1,Equipment Failure,37.4,84,50,15,877545,17.95,78.7,No,0.08,67,827339.34,5.72,84%,5.72%,874,11/7/2023,November,11,2023,67%
G0881,54,Port Harcourt,Event,10,0,0,1,Unknown,38.5,65,53,7,645259,20.79,81.6,Yes,0.1,59,504841.42,21.76,65%,21.76%,880,5/13/2023,May,5,2023,59%
G0898,48,Ibadan,Retail,10,0,0,1,Theft,35,97,94,10,720515,24.47,80.7,No,0.1,95.5,677655.66,5.95,97%,5.95%,897,10/2/2024,October,10,2024,96%
G0900,45,Kano,Event,10,0,0,1,Fire,31.6,69,65,5,487150,22.26,185.7,Yes,0.1,67,450265.98,7.57,69%,7.57%,899,12/4/2024,December,12,2024,67%
G0926,21,Lagos,Corporate,12,0,0,1,Breach,35.8,69,47,16,1242054,15.62,83.6,Yes,0.08,58,806440.78,35.07,69%,35.07%,925,2/2/2024,February,2,2024,58%
G0951,22,Kano,Corporate,10,0,0,1,Unknown,36.4,50,55,7,1083185,17.56,120.5,No,0.1,52.5,705611.69,34.86,50%,34.86%,950,3/27/2023,March,3,2023,53%
G0969,26,Lagos,Event,10,0,0,1,Dispute,24.5,83,52,6,1156665,18.75,154.7,No,0.1,67.5,1041247.92,9.98,83%,9.98%,968,9/17/2023,September,9,2023,68%
G0992,41,Kano,Corporate,10,0,0,1,Dispute,36.6,89,85,3,693727,7.38,11.9,No,0.1,87,646319.27,6.83,89%,6.83%,991,8/12/2024,August,8,2024,87%
G0995,29,Port Harcourt,Event,10,0,0,1,Breach,12.5,51,60,1,945836,27,74.4,Yes,0.1,55.5,599147.2,36.65,51%,36.65%,994,11/15/2023,November,11,2023,56%
G0997,42,Port Harcourt,Residential,10,0,0,1,Equipment Failure,21.9,93,95,2,598388,7.06,130.2,Yes,0.1,94,500694.54,16.33,93%,16.33%,996,1/17/2023,January,1,2023,94%
G0019,31,Lagos,Retail,8,0,0,2,Equipment Failure,18,77,77,1,1171415,27.04,133.2,Yes,0.25,77,1107279.2,5.48,77%,5.48%,18,7/19/2023,July,7,2023,77%
G0022,46,Kano,Industrial,12,0,0,2,Dispute,24.6,93,89,5,346629,24.08,169.2,No,0.17,91,325581.72,6.07,93%,6.07%,21,10/22/2024,October,10,2024,91%
G0024,35,Abuja,Event,10,0,0,2,Equipment Failure,19.6,82,40,14,1276918,11.15,17.8,Yes,0.2,61,953235.19,25.35,82%,25.35%,23,12/24/2024,December,12,2024,61%
G0026,22,Kano,Industrial,10,0,0,2,Theft,17.6,63,97,15,1010958,15.91,178.1,No,0.2,80,936457.46,7.37,63%,7.37%,25,2/26/2024,February,2,2024,80%
G0045,21,Ibadan,Industrial,10,0,0,2,Unknown,17.4,78,86,9,1131284,11.35,196.6,Yes,0.2,82,937066.51,17.17,78%,17.17%,44,9/17/2023,September,9,2023,82%
G0076,36,Abuja,Event,10,0,0,2,Dispute,16.7,62,94,6,596280,20.89,61.8,No,0.2,78,477026.1,20,62%,20.00%,75,4/20/2024,April,4,2024,78%
G0088,52,Ibadan,Industrial,8,0,0,2,Equipment Failure,20.2,90,83,12,693781,19.76,141.6,Yes,0.25,86.5,639969.16,7.76,90%,7.76%,87,4/4/2024,April,4,2024,87%
G0093,46,Port Harcourt,Corporate,12,0,0,2,Unknown,26.1,66,83,5,1078912,22.98,189.6,No,0.17,74.5,953170.27,11.65,66%,11.65%,92,9/9/2023,September,9,2023,75%
G0099,20,Port Harcourt,Residential,12,0,0,2,Breach,20.4,53,78,14,1250573,19.92,19.8,Yes,0.17,65.5,909694.32,27.26,53%,27.26%,98,3/15/2023,March,3,2023,66%
G0101,45,Abuja,Event,12,0,0,2,Breach,29.6,70,71,6,418968,9.63,182.6,No,0.17,70.5,316937.37,24.35,70%,24.35%,100,5/17/2023,May,5,2023,71%
G0102,33,Kano,Retail,12,0,0,2,Unknown,36.3,82,40,19,503570,29.11,52.9,Yes,0.17,61,466769.58,7.31,82%,7.31%,101,6/18/2024,June,6,2024,61%
G0105,34,Kano,Industrial,8,0,0,2,Fire,27.7,90,50,16,647509,5.47,104.4,No,0.25,70,418312.72,35.4,90%,35.40%,104,9/21/2023,September,9,2023,70%
G0117,51,Abuja,Corporate,8,0,0,2,Fire,36.1,73,99,2,1133721,18.95,164.2,No,0.25,86,972889.49,14.19,73%,14.19%,116,9/5/2023,September,9,2023,86%
G0118,26,Abuja,Industrial,10,0,0,2,Equipment Failure,14.2,66,62,13,732809,11.35,89.9,Yes,0.2,64,440354.17,39.91,66%,39.91%,117,10/6/2024,October,10,2024,64%
G0123,47,Ibadan,Event,12,0,0,2,Dispute,20.9,91,67,13,1109010,15.86,117.9,No,0.17,79,881169.31,20.54,91%,20.54%,122,3/11/2023,March,3,2023,79%
G0137,46,Abuja,Corporate,10,0,0,2,Theft,30.6,86,81,19,346901,19.95,166.6,Yes,0.2,83.5,314582.95,9.32,86%,9.32%,136,5/25/2023,May,5,2023,84%
G0165,43,Kano,Event,12,0,0,2,Unknown,27.4,83,44,17,342082,7.2,43.9,No,0.17,63.5,213802.42,37.5,83%,37.50%,164,9/25/2023,September,9,2023,64%
G0172,52,Abuja,Retail,8,0,0,2,Breach,22.1,79,45,5,983045,11.42,187.8,No,0.25,62,841178.09,14.43,79%,14.43%,171,4/4/2024,April,4,2024,62%
G0179,38,Ibadan,Residential,12,0,0,2,Breach,5.5,65,99,4,585840,14.25,173.2,No,0.17,82,492146.06,15.99,65%,15.99%,178,11/11/2023,November,11,2023,82%
G0182,38,Abuja,Event,10,0,0,2,Fire,26.4,72,81,17,961944,25.2,22,No,0.2,76.5,881130.56,8.4,72%,8.40%,181,2/14/2024,February,2,2024,77%
G0194,49,Lagos,Corporate,8,0,0,2,Theft,35.9,63,63,9,669556,20.83,127.1,No,0.25,63,403622.02,39.72,63%,39.72%,193,2/26/2024,February,2,2024,63%
G0201,31,Lagos,Residential,8,0,0,2,Theft,9.8,76,76,17,1210226,11.68,160.3,No,0.25,76,727665.96,39.87,76%,39.87%,200,9/5/2023,September,9,2023,76%
G0209,39,Abuja,Corporate,10,0,0,2,Theft,30.8,91,42,11,981182,19.02,175.5,Yes,0.2,66.5,689001.65,29.78,91%,29.78%,208,5/13/2023,May,5,2023,67%
G0217,44,Ibadan,Industrial,10,0,0,2,Equipment Failure,29.9,90,95,8,639749,11.56,76.3,Yes,0.2,92.5,483629.29,24.4,90%,24.40%,216,1/21/2023,January,1,2023,93%
G0218,54,Abuja,Residential,10,0,0,2,Theft,17.2,79,73,11,956341,21.13,72.1,No,0.2,76,591207.81,38.18,79%,38.18%,217,2/22/2024,February,2,2024,76%
G0220,48,Ibadan,Retail,12,0,0,2,Theft,10.6,51,95,14,973832,15.04,96.2,Yes,0.17,73,763964.75,21.55,51%,21.55%,219,4/24/2024,April,4,2024,73%
G0226,52,Ibadan,Industrial,12,0,0,2,Dispute,34.8,92,40,19,982457,15.18,86.2,No,0.17,66,654911.82,33.34,92%,33.34%,225,10/2/2024,October,10,2024,66%
G0228,52,Ibadan,Corporate,10,0,0,2,Theft,10.6,93,86,2,718401,24.59,20.9,No,0.2,89.5,574931.81,19.97,93%,19.97%,227,12/4/2024,December,12,2024,90%
G0233,26,Port Harcourt,Event,12,0,0,2,Breach,19.8,75,67,1,663309,6.78,13,Yes,0.17,71,598836.87,9.72,75%,9.72%,232,5/9/2023,May,5,2023,71%
G0235,36,Abuja,Industrial,12,0,0,2,Equipment Failure,19.9,68,45,6,1112267,27.23,14.8,No,0.17,56.5,710686.87,36.1,68%,36.10%,234,7/11/2023,July,7,2023,57%
G0257,48,Ibadan,Corporate,10,0,0,2,Breach,13.8,94,89,1,829740,28.72,99,Yes,0.2,91.5,767965.19,7.45,94%,7.45%,256,5/5/2023,May,5,2023,92%
G0261,48,Lagos,Corporate,10,0,0,2,Breach,12.4,50,74,5,700717,5.09,81.1,Yes,0.2,62,630030.54,10.09,50%,10.09%,260,9/9/2023,September,9,2023,62%
G0263,54,Ibadan,Retail,8,0,0,2,Fire,25.3,66,93,4,1467918,14.04,66.4,Yes,0.25,79.5,963781.16,34.34,66%,34.34%,262,11/11/2023,November,11,2023,80%
G0266,51,Port Harcourt,Residential,10,0,0,2,Dispute,5,96,80,0,1061654,14.45,158.8,Yes,0.2,88,683137.83,35.65,96%,35.65%,265,2/14/2024,February,2,2024,88%
G0273,22,Abuja,Event,10,0,0,2,Equipment Failure,38.4,57,87,9,1443835,25.1,180.3,Yes,0.2,72,1342550.25,7.01,57%,7.01%,272,9/21/2023,September,9,2023,72%
G0292,39,Lagos,Retail,10,0,0,2,Fire,26.3,76,58,3,928420,7.55,127.2,No,0.2,67,574526.64,38.12,76%,38.12%,291,4/12/2024,April,4,2024,67%
G0296,33,Ibadan,Industrial,8,0,0,2,Equipment Failure,18.6,50,45,14,1206906,20.32,161.9,Yes,0.25,47.5,1027139.45,14.89,50%,14.89%,295,8/16/2024,August,8,2024,48%
G0298,42,Kano,Residential,12,0,0,2,Theft,6.5,77,66,19,755473,8.04,99.3,Yes,0.17,71.5,701988.18,7.08,77%,7.08%,297,10/18/2024,October,10,2024,72%
G0332,20,Port Harcourt,Industrial,8,0,0,2,Theft,34.8,62,70,6,615414,5.58,82.4,Yes,0.25,66,460422.58,25.18,62%,25.18%,331,8/24/2024,August,8,2024,66%
G0336,20,Port Harcourt,Industrial,10,0,0,2,Dispute,25,86,60,5,1032119,11.11,130.6,No,0.2,73,765671.65,25.82,86%,25.82%,335,12/28/2024,December,12,2024,73%
G0349,24,Lagos,Industrial,8,0,0,2,Dispute,37.7,74,69,8,1349658,11.44,162.3,No,0.25,71.5,836920.52,37.99,74%,37.99%,348,1/13/2023,January,1,2023,72%
G0354,45,Port Harcourt,Residential,8,0,0,2,Theft,21.8,94,58,6,481676,22.58,34,Yes,0.25,76,322545.86,33.04,94%,33.04%,353,6/18/2024,June,6,2024,76%
G0357,52,Port Harcourt,Retail,10,0,0,2,Breach,17,68,79,7,482075,28.44,123.8,No,0.2,73.5,387017.64,19.72,68%,19.72%,356,9/21/2023,September,9,2023,74%
G0373,21,Ibadan,Industrial,10,0,0,2,Equipment Failure,34.1,75,44,7,776870,24.78,147.4,Yes,0.2,59.5,626198.46,19.39,75%,19.39%,372,1/9/2023,January,1,2023,60%
G0379,31,Lagos,Residential,10,0,0,2,Dispute,28.8,56,47,15,628624,16.25,25,Yes,0.2,51.5,569090.99,9.47,56%,9.47%,378,7/15/2023,July,7,2023,52%
G0403,26,Abuja,Corporate,10,0,0,2,Breach,31.6,71,87,16,712230,28.78,21.6,No,0.2,79,498178.03,30.05,71%,30.05%,402,7/11/2023,July,7,2023,79%
G0405,30,Ibadan,Residential,10,0,0,2,Breach,32.6,88,80,5,1180507,15.73,171.5,No,0.2,84,934203.58,20.86,88%,20.86%,404,9/13/2023,September,9,2023,84%
G0427,44,Port Harcourt,Industrial,8,0,0,2,Theft,22.1,77,77,11,566441,7.9,38.6,Yes,0.25,77,463240.92,18.22,77%,18.22%,426,7/7/2023,July,7,2023,77%
G0429,32,Lagos,Retail,8,0,0,2,Theft,26.4,59,87,0,1172911,14.11,41.7,Yes,0.25,73,1067178.57,9.01,59%,9.01%,428,9/9/2023,September,9,2023,73%
G0431,31,Port Harcourt,Industrial,12,0,0,2,Equipment Failure,18.3,87,75,17,436080,27.17,34.3,Yes,0.17,81,368101.88,15.59,87%,15.59%,430,11/11/2023,November,11,2023,81%
G0434,28,Kano,Retail,10,0,0,2,Dispute,21,93,72,15,764764,12.06,58,No,0.2,82.5,539496.79,29.46,93%,29.46%,433,2/14/2024,February,2,2024,83%
G0443,31,Lagos,Event,8,0,0,2,Fire,14.3,86,65,19,1360528,26.62,116.4,No,0.25,75.5,1290000.23,5.18,86%,5.18%,442,11/23/2023,November,11,2023,76%
G0453,48,Kano,Corporate,8,0,0,2,Unknown,27.1,82,71,9,605525,18.92,18.7,No,0.25,76.5,454489.47,24.94,82%,24.94%,452,9/5/2023,September,9,2023,77%
G0454,30,Abuja,Event,10,0,0,2,Fire,24.7,93,50,19,743172,21.53,48.4,Yes,0.2,71.5,597103.43,19.65,93%,19.65%,453,10/6/2024,October,10,2024,72%
G0458,29,Lagos,Residential,8,0,0,2,Fire,18,74,91,8,586045,6.74,19.5,No,0.25,82.5,552481.46,5.73,74%,5.73%,457,2/10/2024,February,2,2024,83%
G0506,50,Port Harcourt,Residential,10,0,0,2,Theft,24.6,93,85,5,776908,26.69,137.5,No,0.2,89,725782.58,6.58,93%,6.58%,505,2/2/2024,February,2,2024,89%
G0514,51,Lagos,Corporate,10,0,0,2,Dispute,27.1,85,95,3,1220200,20.99,92.3,Yes,0.2,90,892581.84,26.85,85%,26.85%,513,10/10/2024,October,10,2024,90%
G0517,31,Kano,Corporate,10,0,0,2,Unknown,18.8,71,87,15,1339528,22.67,59.2,Yes,0.2,79,1032674.44,22.91,71%,22.91%,516,1/13/2023,January,1,2023,79%
G0523,27,Ibadan,Residential,12,0,0,2,Breach,25.7,79,96,16,777698,8.78,165.9,No,0.17,87.5,536501.36,31.01,79%,31.01%,522,7/19/2023,July,7,2023,88%
G0533,48,Kano,Event,8,0,0,2,Unknown,23.7,70,40,1,795521,22.61,10,Yes,0.25,55,560012.64,29.6,70%,29.60%,532,5/1/2023,May,5,2023,55%
G0541,29,Ibadan,Retail,12,0,0,2,Dispute,23.7,71,83,7,1338470,26.16,195.6,Yes,0.17,77,1195318.55,10.7,71%,10.70%,540,1/9/2023,January,1,2023,77%
G0544,52,Kano,Retail,10,0,0,2,Dispute,32,65,97,15,467198,19.68,103.3,No,0.2,81,300802.47,35.62,65%,35.62%,543,4/12/2024,April,4,2024,81%
G0546,37,Ibadan,Event,10,0,0,2,Theft,22.6,54,81,12,876231,23.98,152.5,No,0.2,67.5,586908.75,33.02,54%,33.02%,545,6/14/2024,June,6,2024,68%
G0551,44,Ibadan,Event,12,0,0,2,Unknown,28.3,93,77,0,960319,12.26,91.8,No,0.17,85,862082.75,10.23,93%,10.23%,550,11/19/2023,November,11,2023,85%
G0559,40,Ibadan,Industrial,8,0,0,2,Unknown,5,57,86,5,584599,22.56,99.9,Yes,0.25,71.5,458774.72,21.52,57%,21.52%,558,7/27/2023,July,7,2023,72%
G0561,47,Port Harcourt,Retail,8,0,0,2,Unknown,13.6,91,53,11,775634,12.5,126.2,Yes,0.25,72,712011.23,8.2,91%,8.20%,560,9/1/2023,September,9,2023,72%
G0563,24,Lagos,Industrial,8,0,0,2,Fire,22.6,80,71,2,1381311,15.85,85.4,No,0.25,75.5,1033848.38,25.15,80%,25.15%,562,11/3/2023,November,11,2023,76%
G0568,29,Port Harcourt,Industrial,8,0,0,2,Equipment Failure,39.9,66,78,7,434278,24.33,81.5,Yes,0.25,72,288350.16,33.6,66%,33.60%,567,4/8/2024,April,4,2024,72%
G0574,28,Ibadan,Event,12,0,0,2,Theft,19.7,51,51,12,486988,9.71,172.4,No,0.17,51,328303.26,32.58,51%,32.58%,573,10/14/2024,October,10,2024,51%
G0581,47,Kano,Industrial,10,0,0,2,Fire,25.1,68,85,1,661395,24.67,189.9,No,0.2,76.5,585921.24,11.41,68%,11.41%,580,5/21/2023,May,5,2023,77%
G0587,31,Ibadan,Event,12,0,0,2,Theft,24.3,99,90,4,617152,20.85,140.7,No,0.17,94.5,392500.7,36.4,99%,36.40%,586,11/27/2023,November,11,2023,95%
G0622,25,Ibadan,Retail,10,0,0,2,Theft,14.2,73,87,5,325741,16.85,115.8,No,0.2,80,254483.36,21.88,73%,21.88%,621,10/6/2024,October,10,2024,80%
G0625,30,Abuja,Event,12,0,0,2,Equipment Failure,36.3,87,42,17,1113725,11.03,110.1,No,0.17,64.5,757500.61,31.98,87%,31.98%,624,1/9/2023,January,1,2023,65%
G0629,30,Port Harcourt,Event,8,0,0,2,Fire,20.2,81,56,15,1453393,8.46,67.5,Yes,0.25,68.5,1014965.42,30.17,81%,30.17%,628,5/13/2023,May,5,2023,69%
G0630,35,Abuja,Industrial,8,0,0,2,Dispute,26.1,94,70,7,304642,7.99,66.3,Yes,0.25,82,226816.18,25.55,94%,25.55%,629,6/14/2024,June,6,2024,82%
G0644,37,Abuja,Corporate,8,0,0,2,Unknown,25.5,90,96,17,531789,24.89,102.5,Yes,0.25,93,485731.45,8.66,90%,8.66%,643,8/28/2024,August,8,2024,93%
G0649,20,Abuja,Corporate,8,0,0,2,Breach,20.2,74,46,19,953642,25.45,73.3,Yes,0.25,60,701066.44,26.49,74%,26.49%,648,1/5/2023,January,1,2023,60%
G0650,24,Lagos,Retail,8,0,0,2,Dispute,20.1,51,68,14,894608,22.3,74.3,Yes,0.25,59.5,586886.54,34.4,51%,34.40%,649,2/6/2024,February,2,2024,60%
G0652,45,Abuja,Industrial,10,0,0,2,Fire,30.6,67,68,8,421649,18.17,173.5,Yes,0.2,67.5,329874.81,21.77,67%,21.77%,651,4/8/2024,April,4,2024,68%
G0656,46,Lagos,Corporate,8,0,0,2,Theft,36.7,67,55,0,993578,29.89,180.9,Yes,0.25,61,777770.52,21.72,67%,21.72%,655,8/12/2024,August,8,2024,61%
G0659,41,Ibadan,Event,12,0,0,2,Equipment Failure,15.5,59,45,12,477375,7.55,137.2,Yes,0.17,52,294432.4,38.32,59%,38.32%,658,11/15/2023,November,11,2023,52%
G0660,49,Port Harcourt,Industrial,8,0,0,2,Fire,30.4,86,84,18,1451128,15.37,71.9,No,0.25,85,1231229.34,15.15,86%,15.15%,659,12/16/2024,December,12,2024,85%
G0666,34,Abuja,Corporate,12,0,0,2,Unknown,13.5,73,71,17,409097,7.87,169.4,Yes,0.17,72,354050.13,13.46,73%,13.46%,665,6/22/2024,June,6,2024,72%
G0683,44,Kano,Event,8,0,0,2,Dispute,32.7,63,78,3,452018,22.15,115.1,Yes,0.25,70.5,381392.35,15.62,63%,15.62%,682,11/11/2023,November,11,2023,71%
G0697,37,Port Harcourt,Corporate,10,0,0,2,Breach,21.5,88,93,13,1032228,7.46,142.1,No,0.2,90.5,965792.33,6.44,88%,6.44%,696,1/25/2023,January,1,2023,91%
G0714,49,Port Harcourt,Event,12,0,0,2,Breach,19.2,65,89,19,1094814,27.45,133,No,0.17,77,880868.22,19.54,65%,19.54%,713,6/14/2024,June,6,2024,77%
G0721,50,Port Harcourt,Industrial,8,0,0,2,Theft,42.2,53,79,19,1307480,21.98,31.6,Yes,0.25,66,1195942.46,8.53,53%,8.53%,720,1/21/2023,January,1,2023,66%
G0726,30,Ibadan,Residential,8,0,0,2,Breach,34,80,95,1,790847,15.03,40.6,No,0.25,87.5,583805.85,26.18,80%,26.18%,725,6/26/2024,June,6,2024,88%
G0751,52,Ibadan,Retail,8,0,0,2,Unknown,24.8,75,84,3,899787,27.31,127,No,0.25,79.5,698222.02,22.4,75%,22.40%,750,7/23/2023,July,7,2023,80%
G0753,29,Port Harcourt,Corporate,8,0,0,2,Theft,31.7,51,44,18,1200794,23,164.3,Yes,0.25,47.5,971996.65,19.05,51%,19.05%,752,9/25/2023,September,9,2023,48%
G0759,21,Port Harcourt,Corporate,8,0,0,2,Unknown,17.8,80,47,15,866136,24.79,199,No,0.25,63.5,762183.96,12,80%,12.00%,758,3/3/2023,March,3,2023,64%
G0767,43,Port Harcourt,Retail,8,0,0,2,Equipment Failure,22.1,93,44,19,483505,11.61,192.4,Yes,0.25,68.5,387620.47,19.83,93%,19.83%,766,11/11/2023,November,11,2023,69%
G0773,30,Kano,Industrial,12,0,0,2,Unknown,21.5,65,57,2,813959,25.16,116.4,No,0.17,61,657046.03,19.28,65%,19.28%,772,5/17/2023,May,5,2023,61%
G0774,28,Abuja,Industrial,10,0,0,2,Fire,26.5,87,84,7,512996,12.41,130,No,0.2,85.5,404774.8,21.1,87%,21.10%,773,6/18/2024,June,6,2024,86%
G0775,53,Abuja,Residential,12,0,0,2,Fire,28.5,92,97,19,1199105,17.75,56,Yes,0.17,94.5,926748.8,22.71,92%,22.71%,774,7/19/2023,July,7,2023,95%
G0777,54,Ibadan,Event,8,0,0,2,Unknown,10.6,72,42,9,711998,5.66,58.5,Yes,0.25,57,468064.49,34.26,72%,34.26%,776,9/21/2023,September,9,2023,57%
G0785,49,Port Harcourt,Retail,8,0,0,2,Fire,15.9,85,93,6,1463412,6.22,59.5,No,0.25,89,1092834.3,25.32,85%,25.32%,784,5/1/2023,May,5,2023,89%
G0821,52,Kano,Industrial,8,0,0,2,Dispute,15.5,53,56,11,717799,6.71,110.6,Yes,0.25,54.5,499832.34,30.37,53%,30.37%,820,5/9/2023,May,5,2023,55%
G0832,34,Kano,Residential,8,0,0,2,Fire,21.1,92,76,5,1228412,18.84,172.7,No,0.25,84,800154.72,34.86,92%,34.86%,831,4/20/2024,April,4,2024,84%
G0836,48,Port Harcourt,Retail,12,0,0,2,Theft,22.5,70,52,4,366912,6.35,78.1,No,0.17,61,313144.52,14.65,70%,14.65%,835,8/24/2024,August,8,2024,61%
G0840,46,Kano,Event,8,0,0,2,Dispute,29.9,71,56,17,832451,23.64,62.1,No,0.25,63.5,511506.05,38.55,71%,38.55%,839,12/28/2024,December,12,2024,64%
G0851,45,Abuja,Event,10,0,0,2,Breach,23.2,82,52,3,1401332,7.97,91.4,Yes,0.2,67,1022237.36,27.05,82%,27.05%,850,11/11/2023,November,11,2023,67%
G0858,31,Kano,Residential,10,0,0,2,Unknown,30.3,57,65,10,499245,15.94,162.4,No,0.2,61,411630.75,17.55,57%,17.55%,857,6/18/2024,June,6,2024,61%
G0860,24,Port Harcourt,Industrial,12,0,0,2,Theft,28.1,94,52,19,1433909,28.85,16.1,Yes,0.17,73,1012266.19,29.41,94%,29.41%,859,8/20/2024,August,8,2024,73%
G0869,42,Kano,Corporate,8,0,0,2,Equipment Failure,33.5,80,62,4,816243,25.93,140.1,Yes,0.25,71,539858.18,33.86,80%,33.86%,868,5/1/2023,May,5,2023,71%
G0876,40,Port Harcourt,Residential,10,0,0,2,Breach,32.1,50,87,14,643190,10.66,42.4,No,0.2,68.5,443941.35,30.98,50%,30.98%,875,12/8/2024,December,12,2024,69%
G0878,28,Lagos,Corporate,8,0,0,2,Unknown,22.6,53,90,19,302175,19.47,84.9,No,0.25,71.5,204177.94,32.43,53%,32.43%,877,2/10/2024,February,2,2024,72%
G0880,45,Abuja,Event,10,0,0,2,Theft,19.4,77,48,0,488961,24.89,171.1,Yes,0.2,62.5,422758.52,13.54,77%,13.54%,879,4/12/2024,April,4,2024,63%
G0885,21,Ibadan,Corporate,10,0,0,2,Fire,22.2,66,42,13,858867,25.89,145,No,0.2,54,550863,35.86,66%,35.86%,884,9/17/2023,September,9,2023,54%
G0890,46,Port Harcourt,Event,12,0,0,2,Breach,27.3,99,46,11,1457326,7.52,97.6,No,0.17,72.5,1326706.42,8.96,99%,8.96%,889,2/22/2024,February,2,2024,73%
G0892,43,Kano,Residential,10,0,0,2,Dispute,24.7,61,67,2,1063274,16.3,74.8,No,0.2,64,846711.17,20.37,61%,20.37%,891,4/24/2024,April,4,2024,64%
G0894,26,Ibadan,Corporate,8,0,0,2,Breach,18.6,64,57,16,1382097,10.23,142.4,No,0.25,60.5,1076072.24,22.14,64%,22.14%,893,6/26/2024,June,6,2024,61%
G0901,47,Port Harcourt,Event,8,0,0,2,Equipment Failure,17.4,58,81,1,1097634,15.58,165.1,Yes,0.25,69.5,662348.4,39.66,58%,39.66%,900,1/5/2023,January,1,2023,70%
G0908,47,Port Harcourt,Residential,10,0,0,2,Unknown,23.6,68,66,11,603374,24.57,60.2,No,0.2,67,503049.91,16.63,68%,16.63%,907,8/12/2024,August,8,2024,67%
G0925,33,Port Harcourt,Retail,8,0,0,2,Breach,22.6,53,59,15,1030548,9.59,64.9,No,0.25,56,696356.89,32.43,53%,32.43%,924,1/1/2023,January,1,2023,56%
G0928,49,Port Harcourt,Corporate,12,0,0,2,Theft,36.8,91,70,6,928887,17.83,115.2,Yes,0.17,80.5,826860.99,10.98,91%,10.98%,927,4/4/2024,April,4,2024,81%
G0947,22,Lagos,Industrial,10,0,0,2,Unknown,22.8,71,41,16,722227,26.18,193.6,No,0.2,56,589141.85,18.43,71%,18.43%,946,11/23/2023,November,11,2023,56%
G0977,21,Abuja,Residential,10,0,0,2,Theft,15.2,64,43,13,1171022,16.67,118.4,No,0.2,53.5,985328.12,15.86,64%,15.86%,976,5/25/2023,May,5,2023,54%
G0994,36,Lagos,Retail,8,0,0,2,Dispute,28.5,55,97,11,993210,8.33,85.7,Yes,0.25,76,680878.84,31.45,55%,31.45%,993,10/14/2024,October,10,2024,76%
G0011,22,Ibadan,Event,8,0,0,3,Dispute,20.1,85,87,18,601286,25.53,130.2,No,0.38,86,447975.73,25.5,85%,25.50%,10,11/11/2023,November,11,2023,86%
G0027,26,Port Harcourt,Industrial,8,0,0,3,Dispute,25.1,57,84,12,1364616,6.11,165,Yes,0.38,70.5,1105929.32,18.96,57%,18.96%,26,3/27/2023,March,3,2023,71%
G0030,37,Ibadan,Residential,8,0,0,3,Dispute,13.5,50,52,2,936364,6.73,132.8,No,0.38,51,618989.32,33.89,50%,33.89%,29,6/2/2024,June,6,2024,51%
G0090,43,Lagos,Corporate,12,0,0,3,Dispute,15.3,61,98,0,1288598,27.92,194.9,Yes,0.25,79.5,884878.75,31.33,61%,31.33%,89,6/6/2024,June,6,2024,80%
G0094,54,Abuja,Corporate,8,0,0,3,Unknown,24.6,89,86,12,1294143,25.02,174.3,No,0.38,87.5,1222268.14,5.55,89%,5.55%,93,10/10/2024,October,10,2024,88%
G0128,47,Kano,Retail,10,0,0,3,Theft,13.8,70,89,3,713146,22.7,141.7,Yes,0.3,79.5,630842.7,11.54,70%,11.54%,127,8/16/2024,August,8,2024,80%
